iter	Logloss
0	0.6868902433
1	0.6812119498
2	0.6749976711
3	0.6690665693
4	0.6632845987
5	0.6592359621
6	0.6556356449
7	0.6514119415
8	0.6477590249
9	0.64430023
10	0.6412007656
11	0.639132449
12	0.637315882
13	0.6343475523
14	0.6313339011
15	0.628862322
16	0.6264256769
17	0.6241104406
18	0.6218461497
19	0.6200532029
20	0.6178288743
21	0.6157623441
22	0.6147358938
23	0.6130428529
24	0.6116454937
25	0.6103266698
26	0.6089836303
27	0.6070415524
28	0.6061949327
29	0.6048724698
30	0.6031249768
31	0.6020205867
32	0.6001428853
33	0.5982262801
34	0.5970586383
35	0.5961074813
36	0.5950349816
37	0.5938920847
38	0.5924272394
39	0.5916401662
40	0.5904575716
41	0.5893966505
42	0.5881711162
43	0.5874594686
44	0.5862752861
45	0.5849836551
46	0.5842065726
47	0.5831261995
48	0.5826307722
49	0.5809976748
50	0.5801511212
51	0.5792735373
52	0.5784151406
53	0.5775190972
54	0.5763280999
55	0.5755055635
56	0.5747705605
57	0.5743004735
58	0.5736944219
59	0.5731821892
60	0.5722725824
61	0.5706108365
62	0.569412032
63	0.5689605368
64	0.5683125379
65	0.567846553
66	0.5671525048
67	0.5666961797
68	0.5660691545
69	0.5653658435
70	0.5650371465
71	0.5641256872
72	0.5636716778
73	0.5632273281
74	0.5628255873
75	0.5622866248
76	0.5615229733
77	0.5610526879
78	0.5607595865
79	0.5600472773
80	0.5590171219
81	0.5585830936
82	0.5579750571
83	0.557038456
84	0.5567480011
85	0.5564645595
86	0.5555101605
87	0.5550822192
88	0.5543583647
89	0.5533128925
90	0.5530963416
91	0.5527866333
92	0.551960888
93	0.5513003182
94	0.5507653585
95	0.5499740179
96	0.5494034957
97	0.5490478704
98	0.5484757934
99	0.547017796
100	0.5464641784
101	0.545749355
102	0.5451888896
103	0.54421312
104	0.5435584718
105	0.5427876085
106	0.5421943925
107	0.5417425665
108	0.5412588499
109	0.5408912161
110	0.5400832355
111	0.5390136801
112	0.5386380406
113	0.5381621974
114	0.5372284412
115	0.5366915629
116	0.5363254839
117	0.5358112993
118	0.534929481
119	0.5341828003
120	0.5334493521
121	0.5330594545
122	0.5327581489
123	0.5319905938
124	0.5313737576
125	0.5309529619
126	0.5302885547
127	0.5293621426
128	0.5287466958
129	0.5283135277
130	0.5275452448
131	0.5271052288
132	0.5262741905
133	0.5257084982
134	0.524723565
135	0.5237219589
136	0.5233575339
137	0.5228823855
138	0.5225218973
139	0.5215205227
140	0.5207522728
141	0.520053494
142	0.5194885295
143	0.5190209567
144	0.5186365837
145	0.5182518137
146	0.5177261168
147	0.5170366669
148	0.5157701778
149	0.5153942406
150	0.5150589273
151	0.5143098316
152	0.5136208779
153	0.5133116328
154	0.5130902519
155	0.5125927405
156	0.5120122938
157	0.511291582
158	0.5103746974
159	0.5097068827
160	0.5090314925
161	0.5085251813
162	0.5079940922
163	0.507237884
164	0.5066799328
165	0.5060009035
166	0.5049899684
167	0.5046756618
168	0.5042448756
169	0.5036099108
170	0.502815295
171	0.5022587663
172	0.5016023978
173	0.5011386625
174	0.5006190195
175	0.5000973255
176	0.499535206
177	0.4989515175
178	0.498180588
179	0.4975149899
180	0.496632973
181	0.4961018839
182	0.4955659649
183	0.4949799275
184	0.4944065273
185	0.4935144868
186	0.492971753
187	0.4922683758
188	0.4914056124
189	0.4906097395
190	0.4901146761
191	0.4894518567
192	0.4885663994
193	0.4877812119
194	0.4865831352
195	0.4862712105
196	0.48580334
197	0.4852651052
198	0.4842303846
199	0.4833681173
200	0.4824495125
201	0.4820726489
202	0.4814145933
203	0.480808277
204	0.4802412284
205	0.4792662859
206	0.4780924909
207	0.4773600352
208	0.4764229047
209	0.475435722
210	0.4741868653
211	0.4732633313
212	0.4725268727
213	0.4718355372
214	0.471211787
215	0.4703569962
216	0.4697628208
217	0.4688166591
218	0.4681075919
219	0.4672136988
220	0.466615289
221	0.465845352
222	0.4649960196
223	0.4644526904
224	0.4635363681
225	0.4630010446
226	0.4621386119
227	0.4615767571
228	0.460971731
229	0.4602961091
230	0.459563488
231	0.4586317498
232	0.4576838348
233	0.4570175088
234	0.4564218447
235	0.4555493223
236	0.4551681251
237	0.454483869
238	0.4537152883
239	0.4532317372
240	0.4525188326
241	0.4517924638
242	0.4509956317
243	0.4500544653
244	0.4491273915
245	0.448937835
246	0.4483879556
247	0.4476430282
248	0.4467383175
249	0.4461584664
250	0.4457797503
251	0.4449919493
252	0.4446020848
253	0.4440864777
254	0.4435385171
255	0.4428158204
256	0.4422090079
257	0.4415911793
258	0.4408451271
259	0.4400376096
260	0.4394762179
261	0.4386988045
262	0.4380416752
263	0.4375348678
264	0.4366963861
265	0.4359550977
266	0.4352351798
267	0.434589232
268	0.4342137248
269	0.4335265244
270	0.4330908752
271	0.4324004659
272	0.4316473012
273	0.4309792881
274	0.4301375314
275	0.4295228455
276	0.4290179899
277	0.4283673776
278	0.4279076451
279	0.4270594375
280	0.4262621091
281	0.4255431837
282	0.4249074911
283	0.4242818553
284	0.423467093
285	0.422951916
286	0.4221172056
287	0.4216919109
288	0.4210782505
289	0.4198799092
290	0.4194612307
291	0.4188365873
292	0.4185403101
293	0.4179101752
294	0.4173436559
295	0.4167871933
296	0.4163696396
297	0.4158424872
298	0.4153902972
299	0.4145648827
