model,accuracy,precision,recall,f1,auc
Weighted Voting Ensemble,0.7007407407407408,0.5248868778280543,0.5446009389671361,0.5345622119815668,0.6844247301993781
Sklearn Gradient Boosting,0.7081481481481482,0.5540540540540541,0.38497652582159625,0.45429362880886426,0.6839013881267403
Sklearn Gradient Boosting,0.7081481481481482,0.5540540540540541,0.38497652582159625,0.45429362880886426,0.6839013881267403
Extra Trees,0.7022222222222222,0.5275229357798165,0.539906103286385,0.5336426914153132,0.6835507997479828
Extra Trees,0.7022222222222222,0.5275229357798165,0.539906103286385,0.5336426914153132,0.6835507997479828
Extra Trees,0.7022222222222222,0.5275229357798165,0.539906103286385,0.5336426914153132,0.6835507997479828
CatBoost,0.6785185185185185,0.4918032786885246,0.5633802816901409,0.5251641137855579,0.6637857447716602
CatBoost,0.6785185185185185,0.4918032786885246,0.5633802816901409,0.5251641137855579,0.6637857447716602
CatBoost,0.6785185185185185,0.4918032786885246,0.5633802816901409,0.5251641137855579,0.6637857447716602
