province,n,recall,precision
0,90,0.44,0.4583333333333333
1,94,1.0,0.48936170212765956
2,86,0.125,0.3333333333333333
3,91,0.2631578947368421,0.38461538461538464
4,102,0.7441860465116279,0.6153846153846154
5,99,0.047619047619047616,0.3333333333333333
6,113,0.6,0.5675675675675675
