model,accuracy,precision,recall,f1,auc
XGBoost + Interactions,0.7066666666666667,0.5345622119815668,0.5446009389671361,0.5395348837209303,0.7090522935593357
"XGBoost (RandomizedSearch, wider tuning)",0.674074074074074,0.48559670781893005,0.5539906103286385,0.5175438596491229,0.7046978842753491
"Stacking v2 (RF+XGB+LGBM+SVM, XGB meta)",0.6888888888888889,0.5109489051094891,0.3286384976525822,0.4,0.6569162449444139
SVM (Calibrated),0.717037037037037,0.569620253164557,0.4225352112676056,0.48517520215633425,0.68530374164177
