model,accuracy,precision,recall,f1,auc
Stacking Ensemble (RF+XGB+LGBM → LogReg),0.6992592592592592,0.5223214285714286,0.5492957746478874,0.5354691075514875,0.7060951567993822
Random Forest (standalone),0.7096296296296296,0.5406698564593302,0.5305164319248826,0.5355450236966824,0.7058817551775298
XGBoost (standalone),0.7229629629629629,0.5619047619047619,0.5539906103286385,0.557919621749409,0.6989004735483609
LightGBM (standalone),0.6888888888888889,0.5063829787234042,0.5586854460093896,0.53125,0.6999878056216084
