model,default_recall,default_precision,optimized_threshold,optimized_recall,optimized_precision
Logistic Regression,0.5727699530516432,0.48412698412698413,0.32000000000000006,0.8967136150234741,0.35700934579439253
Decision Tree,0.5305164319248826,0.5136363636363637,0.32000000000000006,0.8356807511737089,0.35247524752475246
KNN,0.2863849765258216,0.5126050420168067,0.14,0.8309859154929577,0.3532934131736527
SVM,0.39906103286384975,0.5629139072847682,0.18000000000000005,0.892018779342723,0.35984848484848486
Random Forest,0.5446009389671361,0.5420560747663551,0.30000000000000004,0.9014084507042254,0.35555555555555557
XGBoost,0.5305164319248826,0.5305164319248826,0.32000000000000006,0.9342723004694836,0.3592057761732852
LightGBM,0.5539906103286385,0.4777327935222672,0.23000000000000004,0.9107981220657277,0.3508137432188065
AdaBoost,0.48826291079812206,0.5561497326203209,0.12000000000000001,0.48826291079812206,0.5561497326203209
Stacking,0.5586854460093896,0.5129310344827587,0.32000000000000006,0.9483568075117371,0.3506944444444444
