model,accuracy,precision,recall,f1,auc
Logistic Regression,0.6725925925925926,0.484,0.568075117370892,0.5226781857451404,0.6986464239985367
Decision Tree,0.7037037037037037,0.5314009661835749,0.5164319248826291,0.5238095238095238,0.6997032701258054
KNN,0.7081481481481482,0.5677966101694916,0.3145539906103286,0.40483383685800606,0.6694256447777575
KNN (scaled),0.7081481481481482,0.5677966101694916,0.3145539906103286,0.40483383685800606,0.6694256447777575
SVM,0.6755555555555556,0.488,0.5727699530516432,0.5269978401727862,0.6927575554336118
Logistic Regression (L1 Regularized),0.6725925925925926,0.484,0.568075117370892,0.5226781857451404,0.6994695445399671
